model,rollout_T,params,n_samples,n_perturb,eps,L_hat_max,L_hat_mean,L_hat_p95
ar2d,1,2124166,100,10,0.001,14.736894,10.607650,12.927727
ar2d,10,2124166,100,10,0.001,231.022105,116.065693,159.630936
ar2d,1,4776006,100,10,0.001,9.922196,8.002223,8.987398
ar2d,10,4776006,100,10,0.001,139.110357,74.703364,101.632068
fno,1,4749377,100,10,0.001,2.323000,1.842227,2.093312
transformer,1,4381441,100,10,0.001,0.186599,0.171289,0.177963
ar2d,1,2124166,100,10,0.001,15.003633,11.083441,12.937515
ar2d,10,2124166,100,10,0.001,205.282494,113.425033,158.566783
fno,10,4749377,100,10,0.001,68.275072,33.001669,47.983615
transformer,10,4381441,100,10,0.001,1.968507,0.848786,1.317655
