model,T,mean_L2,std_L2,mean_energy,max_vorticity,blowup_frac
ar2d,10,0.149228,0.072561,3.072886,3.130587,0.000000
ar2d,20,nan,nan,5.742412,5.042234,0.000000
ar2d,50,nan,nan,9.288142,7.230274,0.000000
ar2d,100,nan,nan,14.814625,9.191751,0.000000
ar2d,10,0.148388,0.070829,3.060306,3.120864,0.000000
ar2d,20,nan,nan,5.686491,4.942501,0.000000
ar2d,50,nan,nan,7.703618,5.913522,0.000000
ar2d,100,nan,nan,8.640765,5.530235,0.000000
fno,10,0.183977,0.081799,3.077206,3.248070,0.000000
fno,20,nan,nan,6.729049,7.793754,0.000000
fno,50,nan,nan,36024777.589514,8809.890936,1.000000
fno,100,nan,nan,6329978242300689414503792640.000000,23098522123896.601562,1.000000
transformer,10,0.052518,0.037536,3.079319,3.101601,0.000000
transformer,20,nan,nan,3.473666,3.387814,0.000000
transformer,50,nan,nan,2.208083,3.065847,0.000000
transformer,100,nan,nan,2.197045,3.092398,0.000000
