model_short,params,test_L2,is_ours,is_pareto_frontier
"SpectraNet (ours, headline)",2040705,0.0822,Y,Y
"SpectraNet (ours), w=32 + residual, seed 0",2124166,0.0836,Y,Y
"SpectraNet (ours), w=32 + residual, seed 1",2124166,0.0850,Y,
"SpectraNet (ours), M=20",5368198,0.0787,Y,Y
"SpectraNet (ours), M=16",3598726,0.0792,Y,Y
"SpectraNet (ours), w=48 plain",4776006,0.0836,Y,
"SpectraNet (ours), w=64 plain",8487686,0.0869,Y,
"SpectraNet (ours), w=20 plain",830806,0.0941,Y,Y
"SpectraNet (ours), w=32 + grouped channel-mixing MLP",1970566,0.0854,Y,
"SpectraNet (ours), w=32 + spectral envelope",2124742,0.0849,Y,
"SpectraNet (ours), w=32 + disk truncation",2124545,0.0893,Y,
"SpectraNet (ours), 3D-spectral variant",8574657,0.1006,Y,
"Transformer (NSL, full softmax)",4381441,0.0284,,
Galerkin Transformer,4391681,0.1097,,
FNO seed 0,4749377,0.1024,,
FNO seed 1,4749377,0.1069,,
U-FNO,39382083,0.1218,,
U-Net (NSL),276964353,0.1387,,
FactFormer,3466049,0.1639,,
U-NO,50798909,0.1697,,
"SpectraNet (ours), single-shot variant",14490352,0.1942,Y,
MWT,76074,0.1944,,
LSM,19197121,0.1951,,
OFormer,549577,0.2162,,
Transolver,11200577,0.2247,,
F-FNO,155381,0.2331,,
GNOT,1225738,0.2362,,
KNO2d,263882,0.3092,,
CNO,2025787,0.3259,,
ONO,123780,0.3443,,
Persistence (trivial floor),0,0.7481,,
