model,params,train_res,test_res,upsample,mean_L2,transfer_native_ratio
ar2d,2124166,64,128,bilinear,0.083563,1.000000
ar2d,2124166,64,128,bilinear,0.173468,2.075897
ar2d,2124166,64,128,spectral_zeropad,0.083563,1.000000
ar2d,2124166,64,128,spectral_zeropad,0.168255,2.013513
fno,4749377,64,128,bilinear,0.102425,1.000000
fno,4749377,64,128,bilinear,0.119380,1.165526
fno,4749377,64,128,spectral_zeropad,0.102425,1.000000
fno,4749377,64,128,spectral_zeropad,0.104529,1.020537
ar2d,2040705,64,128,bilinear,0.082236,1.000000
ar2d,2040705,64,128,bilinear,0.183208,2.227816
ar2d,2040705,64,128,spectral_zeropad,0.082236,1.000000
ar2d,2040705,64,128,spectral_zeropad,0.182063,2.213899
