display,category,params,test_l2,batch_size,latency_ms_median,latency_ms_p25,latency_ms_p75,throughput_samples_per_sec,peak_mem_mb,status
FNO,FNO-family,4749377,0.1024,1,13.362096309661865,13.31107234954834,13.416192054748535,74.83855652775979,117.4423828125,ok
FNO,FNO-family,4749377,0.1024,8,14.524895668029785,14.46787166595459,14.574527740478516,550.7784828780909,179.6455078125,ok
FNO,FNO-family,4749377,0.1024,32,18.23686408996582,18.208864212036133,18.26531219482422,1754.687639395572,406.7705078125,ok
F_FNO,FNO-family,155381,0.2331,1,32.414878845214844,32.30044937133789,32.50889587402344,30.850030468265107,36.578125,ok
F_FNO,FNO-family,155381,0.2331,8,32.847185134887695,32.76518249511719,32.923519134521484,243.55207203137263,61.16015625,ok
F_FNO,FNO-family,155381,0.2331,32,33.12032127380371,33.05046463012695,33.239742279052734,966.1742027034677,141.59765625,ok
FactFormer,Transformer,3465025,0.1639,1,7.810496091842651,7.744192123413086,7.855775833129883,128.03284045483468,218.6279296875,ok
FactFormer,Transformer,3465025,0.1639,8,11.612592220306396,11.598176002502441,11.621055603027344,688.9073385364186,1339.8662109375,ok
FactFormer,Transformer,3465025,0.1639,32,43.195072174072266,42.80022430419922,44.04064178466797,740.8252467096911,5184.1142578125,ok
GNOT,Graph/Attn,1225738,0.2362,1,3.2354559898376465,3.20198392868042,3.276031970977783,309.0754450503836,65.55712890625,ok
GNOT,Graph/Attn,1225738,0.2362,8,8.697375774383545,8.651264190673828,8.746399879455566,919.8176792087642,234.97900390625,ok
GNOT,Graph/Attn,1225738,0.2362,32,29.687472343444824,29.618240356445312,29.79702377319336,1077.8957409981654,815.85400390625,ok
Galerkin_Transformer,Transformer,4391681,0.1097,1,29.56822395324707,29.560287475585938,29.577056884765625,33.820090161018406,100.7412109375,ok
Galerkin_Transformer,Transformer,4391681,0.1097,8,151.49816131591797,149.4153594970703,153.3666534423828,52.80592140862793,333.4130859375,ok
Galerkin_Transformer,Transformer,4391681,0.1097,32,581.1447448730469,580.2052001953125,582.0160522460938,55.0637346070995,1131.0380859375,ok
KNO2d,Other,263882,0.3092,1,1.6671680212020874,1.6357439756393433,1.6861439943313599,599.8195666438974,40.9853515625,ok
KNO2d,Other,263882,0.3092,8,1.8425599932670593,1.8128639459609985,1.8748799562454224,4341.785357998102,71.1416015625,ok
KNO2d,Other,263882,0.3092,32,1.824400007724762,1.8031680583953857,1.8493759632110596,17540.013080743025,176.0166015625,ok
LSM,Spectral,19197121,0.1951,1,56.15977478027344,56.01411056518555,56.29225540161133,17.806339215435347,203.98779296875,ok
LSM,Spectral,19197121,0.1951,8,55.059953689575195,54.98825454711914,55.216670989990234,145.29616289006586,315.12841796875,ok
LSM,Spectral,19197121,0.1951,32,209.0552749633789,208.9800567626953,209.15728759765625,153.06956500191433,720.75341796875,ok
MWT,Spectral,65706,0.1944,1,388.7722625732422,388.43377685546875,388.9836730957031,2.572199964527064,52.0859375,ok
MWT,Spectral,65706,0.1944,8,411.99427795410156,411.73394775390625,412.41473388671875,19.417745410753604,180.8828125,ok
MWT,Spectral,65706,0.1944,32,419.98130798339844,419.381591796875,420.3565368652344,76.19386718340554,622.2578125,ok
OFormer,Transformer,549345,0.2162,1,44.93071937561035,44.831520080566406,45.01891326904297,22.256487630216487,60.751953125,ok
OFormer,Transformer,549345,0.2162,8,70.50225448608398,70.49411010742188,70.5087661743164,113.47154865209413,233.611328125,ok
OFormer,Transformer,549345,0.2162,32,251.30902099609375,250.0714569091797,252.33273315429688,127.33327229227237,821.736328125,ok
ONO,Other,123393,0.3443,1,20.593039512634277,20.51046371459961,20.657472610473633,48.56009718169473,43.17578125,ok
ONO,Other,123393,0.3443,8,25.907119750976562,25.897375106811523,25.927936553955078,308.79542291452304,107.62890625,ok
ONO,Other,123393,0.3443,32,69.50361633300781,69.49359893798828,69.51187133789062,460.4076980207856,328.50390625,ok
SpectraNet (ablation),Ours,14490352,0.1643,1,4.539103984832764,4.500576019287109,4.571775913238525,220.30779716469604,306.07958984375,ok
SpectraNet (ablation),Ours,14490352,0.1643,8,5.401968002319336,5.392096042633057,5.410175800323486,1480.9417598484845,685.28662109375,ok
SpectraNet (ablation),Ours,14490352,0.1643,32,19.905136108398438,19.890623092651367,19.920480728149414,1607.6252795125806,1974.89208984375,ok
SpectraNet (w=20),Ours,830806,0.0941,1,32.09640121459961,31.927072525024414,38.87424087524414,31.1561409428398,47.61083984375,ok
SpectraNet (w=20),Ours,830806,0.0941,8,34.94470405578613,34.801055908203125,35.03900909423828,228.933116366609,75.80615234375,ok
SpectraNet (w=20),Ours,830806,0.0941,32,34.3389778137207,34.247711181640625,34.42451095581055,931.8856307718593,167.49365234375,ok
SpectraNet (w=32 (canonical)),Ours,2124166,0.0851,1,32.80193519592285,32.68611145019531,32.87260818481445,30.48600620747205,68.89208984375,ok
SpectraNet (w=32 (canonical)),Ours,2124166,0.0851,8,34.874399185180664,34.761470794677734,44.85782241821289,229.39463293748946,111.34521484375,ok
